statistic,real,synthetic,real_residual,synthetic_residual,innovations
n,192.0,192.0,192.0,192.0,191.0
mean,100.90833333333335,101.22168999567835,-1.2360483007493409e-14,2.257453483404485e-14,-4.650148794241494e-18
median,100.7,100.95330825265103,-0.3583333333333556,-0.1197416152743287,-0.16286674818225955
variance_ddof0,2.495972222222221,3.336093558079785,2.352518063743465,2.848464084484188,1.501925430313217
variance_ddof1,2.509040139616055,3.353560016499051,2.3648349122447394,2.863377509010283,1.509830300999076
std_ddof0,1.5798646214857213,1.826497620606111,1.5337920536185683,1.6877393413925588,1.2255306729385507
min,98.6,96.91131703222999,-1.897503365611982,-3.9615805116111744,-6.476930022525572
max,114.0,110.06557585358478,12.780836698945294,7.856354641076223,7.103553753392811
skewness,4.454582183027083,1.7603476891032508,4.448193288953386,1.680872088114839,1.4855039787022304
excess_kurtosis,30.44631593591157,5.494405487195895,30.23385851286166,5.752867906275206,14.069459118663584
