method,degree,seasonal,fold,train_n,validation_n,flagged_train,RMSE
raw,0,False,1,64,19,0,1.371256632531446
raw,0,False,2,83,19,0,0.5792389811219067
raw,0,False,3,102,19,0,0.902141476942605
raw,0,True,1,64,19,0,1.3911025553559826
raw,0,True,2,83,19,0,0.7404721189561863
raw,0,True,3,102,19,0,0.9169158361568154
raw,1,False,1,64,19,0,2.9019428668956824
raw,1,False,2,83,19,0,1.3802692403814192
raw,1,False,3,102,19,0,1.4296313966237857
raw,1,True,1,64,19,0,2.75069045859516
raw,1,True,2,83,19,0,1.7480441712482817
raw,1,True,3,102,19,0,1.3894513702694735
raw,2,False,1,64,19,0,9.358249948273956
raw,2,False,2,83,19,0,1.713755387281174
raw,2,False,3,102,19,0,0.7563963140967752
raw,2,True,1,64,19,0,8.847082359643885
raw,2,True,2,83,19,0,2.0896303548016486
raw,2,True,3,102,19,0,0.7820404892501727
raw,3,False,1,64,19,0,19.31923091443536
raw,3,False,2,83,19,0,4.2386584215393786
raw,3,False,3,102,19,0,3.54063457277702
raw,3,True,1,64,19,0,18.87716410045416
raw,3,True,2,83,19,0,3.2112631059592465
raw,3,True,3,102,19,0,3.782360939409376
hampel,0,False,1,64,19,8,1.3553448439879052
hampel,0,False,2,83,19,11,0.6929597493369564
hampel,0,False,3,102,19,13,0.7685835834978889
hampel,0,True,1,64,19,8,1.3254414721525485
hampel,0,True,2,83,19,11,0.6363779817379045
hampel,0,True,3,102,19,13,0.7198758867502312
hampel,1,False,1,64,19,8,1.8083364834845144
hampel,1,False,2,83,19,11,0.6389384776316615
hampel,1,False,3,102,19,13,1.2259081922469446
hampel,1,True,1,64,19,8,1.702730524798376
hampel,1,True,2,83,19,11,0.6606308860123622
hampel,1,True,3,102,19,13,1.1972823369569048
hampel,2,False,1,64,19,8,4.401045976199395
hampel,2,False,2,83,19,11,0.6004176675767823
hampel,2,False,3,102,19,13,0.9653357628154466
hampel,2,True,1,64,19,8,4.194817017610184
hampel,2,True,2,83,19,11,0.543422070955167
hampel,2,True,3,102,19,13,0.8975005264465177
hampel,3,False,1,64,19,8,9.074939616142121
hampel,3,False,2,83,19,11,3.4364844390547695
hampel,3,False,3,102,19,13,0.8933742393691735
hampel,3,True,1,64,19,8,8.834221135824041
hampel,3,True,2,83,19,11,3.1305160608882345
hampel,3,True,3,102,19,13,0.8186873972037655
adaptive,0,False,1,64,19,0,1.371256632531446
adaptive,0,False,2,83,19,0,0.5792389811219067
adaptive,0,False,3,102,19,0,0.902141476942605
adaptive,0,True,1,64,19,0,1.3911025553559826
adaptive,0,True,2,83,19,0,0.7404721189561863
adaptive,0,True,3,102,19,0,0.9169158361568154
adaptive,1,False,1,64,19,0,2.9019428668956824
adaptive,1,False,2,83,19,0,1.3802692403814192
adaptive,1,False,3,102,19,0,1.4296313966237857
adaptive,1,True,1,64,19,0,2.75069045859516
adaptive,1,True,2,83,19,0,1.7480441712482817
adaptive,1,True,3,102,19,0,1.3894513702694735
adaptive,2,False,1,64,19,0,9.358249948273956
adaptive,2,False,2,83,19,0,1.713755387281174
adaptive,2,False,3,102,19,0,0.7563963140967752
adaptive,2,True,1,64,19,0,8.847082359643885
adaptive,2,True,2,83,19,0,2.0896303548016486
adaptive,2,True,3,102,19,0,0.7820404892501727
adaptive,3,False,1,64,19,0,19.31923091443536
adaptive,3,False,2,83,19,0,4.2386584215393786
adaptive,3,False,3,102,19,0,3.54063457277702
adaptive,3,True,1,64,19,0,18.87716410045416
adaptive,3,True,2,83,19,0,3.2112631059592465
adaptive,3,True,3,102,19,0,3.782360939409376
