method,degree,seasonal,cv_rmse
hampel,0,True,0.9451619480397977
hampel,0,False,0.984525873224974
adaptive,0,False,1.0049414234890859
raw,0,False,1.0049414234890859
adaptive,0,True,1.052647444789337
raw,0,True,1.052647444789337
hampel,1,True,1.2608475194649322
hampel,1,False,1.3141758014712208
adaptive,1,False,2.0306207186377194
raw,1,False,2.0306207186377194
adaptive,1,True,2.0455261372065348
raw,1,True,2.0455261372065348
hampel,2,True,2.496484498476806
hampel,2,False,2.6243462801956166
adaptive,2,True,5.267795510611535
raw,2,True,5.267795510611535
hampel,3,True,5.43181501091669
adaptive,2,False,5.510170445209595
raw,2,False,5.510170445209595
hampel,3,False,5.626190892248495
adaptive,3,True,11.268921709538736
raw,3,True,11.268921709538736
adaptive,3,False,11.600790224774999
raw,3,False,11.600790224774999
